    0.0000	 3.000E+00	-0.000E+00	 0.000E+00	-1.684E+00	 1.145E-01	-3.437E+05
    1.0000	 3.000E+00	-0.000E+00	 0.000E+00	-4.218E-01	 1.435E+00	-1.168E+05
    2.0000	 3.000E+00	-0.000E+00	 0.000E+00	-8.914E-01	 1.246E+00	-1.716E+05
    3.0000	 3.000E+00	-0.000E+00	 0.000E+00	-3.945E-01	 1.246E+00	-9.243E+04
    4.0000	 3.000E+00	-0.000E+00	 0.000E+00	-4.119E-01	 1.194E+00	-8.269E+04
    5.0000	 3.000E+00	-0.000E+00	 0.000E+00	-3.317E-01	 1.245E+00	-5.989E+04
    6.0000	 3.000E+00	-0.000E+00	 0.000E+00	-7.440E-02	 1.220E+00	-1.590E+04
    7.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.543E-02	 1.240E+00	 3.206E+03
    8.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.174E-02	 1.232E+00	 2.254E+03
    9.0000	 3.000E+00	-0.000E+00	 0.000E+00	 5.801E-02	 1.192E+00	 1.142E+04
   10.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.452E-01	 1.187E+00	 3.068E+04
   11.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.446E-01	 1.176E+00	 2.998E+04
   12.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.281E-01	 1.189E+00	 2.433E+04
   13.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.680E-01	 1.168E+00	 3.398E+04
   14.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.958E-01	 1.151E+00	 4.191E+04
   15.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.664E-01	 1.176E+00	 3.186E+04
   16.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.744E-01	 1.160E+00	 3.414E+04
   17.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.045E-01	 1.145E+00	 4.295E+04
   18.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.868E-01	 1.163E+00	 3.632E+04
   19.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.898E-01	 1.153E+00	 3.754E+04
   20.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.997E-01	 1.149E+00	 4.035E+04
   21.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.041E-01	 1.156E+00	 4.055E+04
   22.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.057E-01	 1.145E+00	 4.189E+04
   23.0000	 3.000E+00	-0.000E+00	 0.000E+00	 1.980E-01	 1.153E+00	 3.920E+04
   24.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.105E-01	 1.155E+00	 4.196E+04
   25.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.145E-01	 1.139E+00	 4.453E+04
   26.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.029E-01	 1.153E+00	 4.028E+04
   27.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.048E-01	 1.155E+00	 4.042E+04
   28.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.146E-01	 1.138E+00	 4.451E+04
   29.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.097E-01	 1.152E+00	 4.205E+04
   30.0000	 3.000E+00	-0.000E+00	 0.000E+00	 2.023E-01	 1.153E+00	 3.987E+04
   31.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.468E-01	 1.064E+00	 1.121E+05
   32.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.397E-01	 1.075E+00	 1.066E+05
   33.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.443E-01	 1.067E+00	 1.115E+05
   34.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.375E-01	 1.066E+00	 1.084E+05
   35.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.296E-01	 1.083E+00	 1.003E+05
   36.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.391E-01	 1.067E+00	 1.097E+05
   37.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.396E-01	 1.066E+00	 1.107E+05
   38.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.231E-01	 1.084E+00	 9.671E+04
   39.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.348E-01	 1.068E+00	 1.076E+05
   40.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.396E-01	 1.068E+00	 1.105E+05
   41.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.361E-01	 1.081E+00	 1.040E+05
   42.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.338E-01	 1.068E+00	 1.073E+05
   43.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.368E-01	 1.072E+00	 1.081E+05
   44.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.423E-01	 1.078E+00	 1.086E+05
   45.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.350E-01	 1.066E+00	 1.085E+05
   46.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.356E-01	 1.076E+00	 1.064E+05
   47.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.378E-01	 1.076E+00	 1.074E+05
   48.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.367E-01	 1.066E+00	 1.097E+05
   49.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.351E-01	 1.081E+00	 1.051E+05
   50.0000	 3.500E+00	-0.000E+00	 0.000E+00	 3.335E-01	 1.074E+00	 1.058E+05
